9.3067 	EXP 	Created probe = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='probe', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0128 	EXP 	Imported sequnce_con.xlsx as conditions, 4 conditions, 2 params
0.0137 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'pos': -50, 'corr_resp': 'x', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0179 	EXP 	fixation: autoDraw = True
1.0111 	EXP 	line1: autoDraw = True
1.0111 	EXP 	line2: autoDraw = True
1.0111 	EXP 	line3: autoDraw = True
1.0111 	EXP 	line4: autoDraw = True
1.0272 	EXP 	fixation: autoDraw = False
2.0104 	INFO 	Keyboard events cleared
2.0096 	EXP 	probe: autoDraw = True
5.2654 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'pos': 150, 'corr_resp': 'v', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.2677 	DATA 	Keypress: x
5.2734 	EXP 	fixation: autoDraw = False
5.2734 	EXP 	line1: autoDraw = False
5.2734 	EXP 	line2: autoDraw = False
5.2734 	EXP 	line3: autoDraw = False
5.2734 	EXP 	line4: autoDraw = False
5.2734 	EXP 	probe: autoDraw = False
5.2734 	EXP 	fixation: autoDraw = True
6.2727 	EXP 	fixation: autoDraw = False
6.2727 	EXP 	line1: autoDraw = True
6.2727 	EXP 	line2: autoDraw = True
6.2727 	EXP 	line3: autoDraw = True
6.2727 	EXP 	line4: autoDraw = True
7.2727 	INFO 	Keyboard events cleared
7.2718 	EXP 	probe: autoDraw = True
9.6390 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'pos': 50, 'corr_resp': 'c', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
9.6412 	DATA 	Keypress: v
9.6535 	EXP 	fixation: autoDraw = False
9.6535 	EXP 	line1: autoDraw = False
9.6535 	EXP 	line2: autoDraw = False
9.6535 	EXP 	line3: autoDraw = False
9.6535 	EXP 	line4: autoDraw = False
9.6535 	EXP 	probe: autoDraw = False
9.6535 	EXP 	fixation: autoDraw = True
10.6526 	EXP 	fixation: autoDraw = False
10.6526 	EXP 	line1: autoDraw = True
10.6526 	EXP 	line2: autoDraw = True
10.6526 	EXP 	line3: autoDraw = True
10.6526 	EXP 	line4: autoDraw = True
11.6526 	INFO 	Keyboard events cleared
11.6518 	EXP 	probe: autoDraw = True
13.3023 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'pos': -150, 'corr_resp': 'z', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
13.3050 	DATA 	Keypress: c
13.3175 	EXP 	fixation: autoDraw = False
13.3175 	EXP 	line1: autoDraw = False
13.3175 	EXP 	line2: autoDraw = False
13.3175 	EXP 	line3: autoDraw = False
13.3175 	EXP 	line4: autoDraw = False
13.3175 	EXP 	probe: autoDraw = False
