pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,0,0,0,space,0,0.35139159999380354,None,0,0,0,1,0.019942099999752827,,0.009326699990197085,0.019942099999752827,1.0030433999927482,1.0030433999927482,1.0030433999927482,1.0030433999927482,1.019615299999714,2.002178599999752,2.002178599999752,2.3719066999910865,space,0,0.35139159999380354,None,720928,001,2024-11-15_11h25.07.360,Motor_Sequence_Learning,2024.2.1post4,60.227394554064624,2024-11-15 11h25.12.950361 +0530,
50,c,1,1,0,,,,,0,1,1,2,2.3852582999970764,,2.3721182999870507,2.3852582999970764,3.3845237999921665,3.3845237999921665,3.3845237999921665,3.3845237999921665,3.3845237999921665,,,,,,,,,,,,,,,
