pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,0,0,0,space,0,3.5836277999915183,None,0,0,0,1,0.010047700008726679,,0.007935200002975762,0.010047700008726679,1.005640500006848,1.005640500006848,1.005640500006848,1.005640500006848,1.0223338000068907,2.005104500000016,2.005104500000016,5.649815299999318,space,0,3.5836277999915183,None,420818,001,2024-11-12_15h11.36.478,Motor_Sequence_Learning,2024.2.1post4,60.0991877007762,2024-11-12 15h11.44.370867 +0530,
-50,x,1,1,0,z,0,1.0523643999913475,None,0,1,1,0,5.652828100006445,,5.65004590000899,5.652828100006445,6.65123339999991,6.65123339999991,6.65123339999991,6.65123339999991,6.667563499999233,7.65041950000159,7.65041950000159,8.71776420000242,z,0,1.0523643999913475,None,420818,001,2024-11-12_15h11.36.478,Motor_Sequence_Learning,2024.2.1post4,60.0991877007762,2024-11-12 15h11.44.370867 +0530,
50,c,2,2,0,x,0,0.6298927000025287,None,0,2,2,2,8.732834599999478,,8.718145700011519,8.732834599999478,9.732132300006924,9.732132300006924,9.732132300006924,9.732132300006924,9.732132300006924,10.731082099999185,10.731082099999185,11.365271500006202,x,0,0.6298927000025287,None,420818,001,2024-11-12_15h11.36.478,Motor_Sequence_Learning,2024.2.1post4,60.0991877007762,2024-11-12 15h11.44.370867 +0530,
-150,z,3,3,0,x,0,0.8429259999975329,None,0,3,3,3,11.38109280000208,,11.365747000003466,11.38109280000208,12.379898500003037,12.379898500003037,12.379898500003037,12.379898500003037,12.396553500002483,13.378909400009434,13.378909400009434,14.229397500006598,x,0,0.8429259999975329,None,420818,001,2024-11-12_15h11.36.478,Motor_Sequence_Learning,2024.2.1post4,60.0991877007762,2024-11-12 15h11.44.370867 +0530,
150,v,4,0,1,,,,,1,0,4,1,14.244893900002353,,14.229724400007399,14.244893900002353,15.244192900005146,15.244192900005146,15.244192900005146,15.244192900005146,15.244192900005146,,,,,,,,,,,,,,,
